,Make,Model,Vehicle_Type,Engine_Capacity,Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),vehicle_age,Distance_Driven_Last_Month,Fuel_Consumed_Last_Month
0,ACURA,ILX,Four-Wheeler,2.0,4,AS5,Diesel,9.9,6.7,8.5,33,196,4,900.0,76.5
1,ACURA,ILX,Four-Wheeler,2.4,4,M6,Diesel,11.2,7.7,9.6,29,221,4,940.0,90.24
2,ACURA,ILX HYBRID,Four-Wheeler,1.5,4,AV7,Diesel,6.0,5.8,5.9,48,136,4,850.0,50.15
3,ACURA,MDX 4WD,Four-Wheeler,3.5,6,AS6,Diesel,12.7,9.1,11.1,25,255,4,1050.0,116.55
4,ACURA,RDX AWD,Four-Wheeler,3.5,6,AS6,Diesel,12.1,8.7,10.6,27,244,4,1050.0,111.3
5,ACURA,RLX,Four-Wheeler,3.5,6,AS6,Diesel,11.9,7.7,10.0,28,230,4,1050.0,105.0
6,ACURA,TL,Four-Wheeler,3.5,6,AS6,Diesel,11.8,8.1,10.1,28,232,4,1050.0,106.05
7,ACURA,TL AWD,Four-Wheeler,3.7,6,AS6,Diesel,12.8,9.0,11.1,25,255,4,1070.0,118.77
8,ACURA,TL AWD,Four-Wheeler,3.7,6,M6,Diesel,13.4,9.5,11.6,24,267,4,1070.0,124.12
9,ACURA,TSX,Four-Wheeler,2.4,4,AS5,Diesel,10.6,7.5,9.2,31,212,4,940.0,86.48
10,ACURA,TSX,Four-Wheeler,2.4,4,M6,Diesel,11.2,8.1,9.8,29,225,4,940.0,92.12
11,ACURA,TSX,Four-Wheeler,3.5,6,AS5,Diesel,12.1,8.3,10.4,27,239,4,1050.0,109.2
12,ALFA ROMEO,4C,Four-Wheeler,1.8,4,AM6,Diesel,9.7,6.9,8.4,34,193,4,880.0,73.92
13,ASTON MARTIN,DB9,Four-Wheeler,5.9,12,A6,Diesel,18.0,12.6,15.6,18,359,6,1190.0,185.64
14,ASTON MARTIN,RAPIDE,Four-Wheeler,5.9,12,A6,Diesel,18.0,12.6,15.6,18,359,6,1190.0,185.64
15,ASTON MARTIN,V8 VANTAGE,Four-Wheeler,4.7,8,AM7,Diesel,17.4,11.3,14.7,19,338,5,1170.0,171.99
16,ASTON MARTIN,V8 VANTAGE,Four-Wheeler,4.7,8,M6,Diesel,18.1,12.2,15.4,18,354,5,1170.0,180.18
17,ASTON MARTIN,V8 VANTAGE S,Four-Wheeler,4.7,8,AM7,Diesel,17.4,11.3,14.7,19,338,5,1170.0,171.99
18,ASTON MARTIN,V8 VANTAGE S,Four-Wheeler,4.7,8,M6,Diesel,18.1,12.2,15.4,18,354,5,1170.0,180.18
19,ASTON MARTIN,VANQUISH,Four-Wheeler,5.9,12,A6,Diesel,18.0,12.6,15.6,18,359,6,1190.0,185.64
20,AUDI,A4,Four-Wheeler,2.0,4,AV8,Diesel,9.9,7.4,8.8,32,202,4,900.0,79.2
21,AUDI,A4 QUATTRO,Four-Wheeler,2.0,4,AS8,Diesel,11.5,8.1,10.0,28,230,4,900.0,90.0
22,AUDI,A4 QUATTRO,Four-Wheeler,2.0,4,M6,Diesel,10.8,7.5,9.3,30,214,4,900.0,83.7
23,AUDI,A5 CABRIOLET QUATTRO,Four-Wheeler,2.0,4,AS8,Diesel,11.5,8.1,10.0,28,230,4,900.0,90.0
24,AUDI,A5 QUATTRO,Four-Wheeler,2.0,4,AS8,Diesel,11.5,8.1,10.0,28,230,4,900.0,90.0
25,AUDI,A5 QUATTRO,Four-Wheeler,2.0,4,M6,Diesel,10.8,7.5,9.3,30,214,4,900.0,83.7
26,AUDI,A6 QUATTRO,Four-Wheeler,2.0,4,AS8,Diesel,12.0,8.1,10.2,28,235,4,900.0,91.8
27,AUDI,A6 QUATTRO,Four-Wheeler,3.0,6,AS8,Diesel,12.8,8.6,10.9,26,251,4,1000.0,109.0
28,AUDI,A6 QUATTRO TDI (modified),Four-Wheeler,3.0,6,AS8,CNG,9.8,6.2,8.1,35,217,4,800.0,64.8
29,AUDI,A7 QUATTRO,Four-Wheeler,3.0,6,AS8,Diesel,13.3,8.5,11.2,25,262,4,1000.0,112.0
30,AUDI,A7 QUATTRO TDI (modified),Four-Wheeler,3.0,6,AS8,CNG,9.8,6.2,8.1,35,217,4,800.0,64.8
31,AUDI,A8,Four-Wheeler,3.0,6,AS8,Diesel,13.1,8.8,11.2,25,258,4,1000.0,112.0
32,AUDI,A8,Four-Wheeler,4.0,8,AS8,Diesel,13.7,8.3,11.3,25,265,4,1100.0,124.3
33,AUDI,A8 TDI (modified),Four-Wheeler,3.0,6,AS8,CNG,9.8,6.5,8.4,34,224,4,800.0,67.2
34,AUDI,A8L,Four-Wheeler,3.0,6,AS8,Diesel,13.1,8.8,11.2,25,258,4,1000.0,112.0
35,AUDI,A8L,Four-Wheeler,4.0,8,AS8,Diesel,14.7,9.7,12.5,23,288,5,1100.0,137.5
36,AUDI,A8L,Four-Wheeler,6.3,12,AS8,Diesel,18.7,11.5,15.5,18,363,5,1330.0,206.15
37,AUDI,A8L TDI (modified),Four-Wheeler,3.0,6,AS8,CNG,9.8,6.5,8.4,34,224,4,800.0,67.2
38,AUDI,ALLROAD QUATTRO,Four-Wheeler,2.0,4,AS8,Diesel,11.8,8.8,10.5,27,242,4,900.0,94.5
39,AUDI,Q5,Four-Wheeler,2.0,4,AS8,Diesel,12.0,8.5,10.4,27,239,4,900.0,93.6
40,AUDI,Q5,Four-Wheeler,3.0,6,AS8,Diesel,12.9,9.2,11.2,25,258,4,1000.0,112.0
41,AUDI,Q5 TDI (modified),Four-Wheeler,3.0,6,AS8,CNG,10.2,7.8,9.0,31,244,4,800.0,72.0
42,AUDI,Q5 HYBRID,Four-Wheeler,2.0,4,AS8,Diesel,9.9,8.3,9.2,31,212,4,900.0,82.8
43,AUDI,Q7,Four-Wheeler,3.0,6,AS8,Diesel,15.1,10.9,13.2,21,304,5,1000.0,132.0
44,AUDI,Q7 TDI (modified),Four-Wheeler,3.0,6,AS8,CNG,12.4,8.7,10.7,26,290,4,800.0,85.6
45,AUDI,R8,Four-Wheeler,4.2,8,A7,Diesel,17.6,11.0,14.6,19,336,5,1120.0,163.52
46,AUDI,R8,Four-Wheeler,4.2,8,M6,Diesel,21.2,13.4,17.7,16,407,6,1020.0,180.54
47,AUDI,R8,Four-Wheeler,5.2,10,A7,Diesel,18.2,10.6,14.8,19,347,5,1220.0,180.56
48,AUDI,R8,Four-Wheeler,5.2,10,M6,Diesel,21.1,13.8,17.8,16,409,6,1120.0,199.36
49,AUDI,R8 SPYDER,Four-Wheeler,4.2,8,A7,Diesel,17.6,11.0,14.6,19,336,5,1120.0,163.52
50,AUDI,R8 SPYDER,Four-Wheeler,4.2,8,M6,Diesel,21.2,13.4,17.7,16,407,6,1020.0,180.54
51,AUDI,R8 SPYDER,Four-Wheeler,5.2,10,A7,Diesel,18.2,10.6,14.8,19,347,5,1220.0,180.56
52,AUDI,R8 SPYDER,Four-Wheeler,5.2,10,M6,Diesel,21.1,13.8,17.8,16,409,6,1120.0,199.36
53,AUDI,RS 5,Four-Wheeler,4.2,8,A7,Diesel,15.3,10.9,13.3,21,306,5,1120.0,148.96
54,AUDI,RS 5 CABRIOLET,Four-Wheeler,4.2,8,A7,Diesel,15.2,11.3,13.4,21,308,5,1120.0,150.08
55,AUDI,RS 7,Four-Wheeler,4.0,8,AS8,Diesel,15.5,8.8,12.5,23,293,5,1100.0,137.5
56,AUDI,S4,Four-Wheeler,3.0,6,A7,Diesel,13.2,9.2,11.4,25,262,4,1000.0,114.0
57,AUDI,S4,Four-Wheeler,3.0,6,M6,Diesel,14.6,9.8,12.4,23,285,5,1000.0,124.0
58,AUDI,S5,Four-Wheeler,3.0,6,A7,Diesel,13.2,9.2,11.4,25,262,4,1000.0,114.0
59,AUDI,S5,Four-Wheeler,3.0,6,M6,Diesel,14.6,9.8,12.4,23,285,5,1000.0,124.0
60,AUDI,S5 CABRIOLET,Four-Wheeler,3.0,6,A7,Diesel,13.3,9.5,11.6,24,267,4,1000.0,116.0
61,AUDI,S6,Four-Wheeler,4.0,8,A7,Diesel,14.2,9.7,12.2,23,281,5,1100.0,134.2
62,AUDI,S7,Four-Wheeler,4.0,8,A7,Diesel,14.2,9.7,12.2,23,281,5,1100.0,134.2
63,AUDI,S8,Four-Wheeler,4.0,8,AS8,Diesel,15.8,9.2,12.8,22,300,5,1100.0,140.8
64,AUDI,SQ5,Four-Wheeler,3.0,6,AS8,Diesel,14.9,10.1,12.7,22,292,5,1000.0,127.0
65,AUDI,TT COUPE QUATTRO,Four-Wheeler,2.0,4,A6,Diesel,10.4,7.6,9.1,31,209,4,900.0,81.9
66,AUDI,TT ROADSTER QUATTRO,Four-Wheeler,2.0,4,A6,Diesel,10.4,7.6,9.1,31,209,4,900.0,81.9
67,AUDI,TTS COUPE QUATTRO,Four-Wheeler,2.0,4,A6,Diesel,11.5,8.8,10.3,27,237,4,900.0,92.7
68,AUDI,TTS ROADSTER QUATTRO,Four-Wheeler,2.0,4,A6,Diesel,11.5,8.8,10.3,27,237,4,900.0,92.7
69,BENTLEY,CONTINENTAL GT,Four-Wheeler,4.0,8,AS8,Diesel,16.3,9.8,13.4,21,314,5,1100.0,147.4
70,BENTLEY,CONTINENTAL GT,Four-Wheeler,6.0,12,AS8,Diesel,18.8,11.5,15.5,18,356,5,1300.0,201.5
71,BENTLEY,CONTINENTAL GTC,Four-Wheeler,4.0,8,AS8,Diesel,17.4,10.2,14.2,20,332,5,1100.0,156.2
72,BENTLEY,CONTINENTAL GTC,Four-Wheeler,6.0,12,AS8,Diesel,20.0,12.2,16.5,17,380,6,1200.0,198.0
73,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,Four-Wheeler,6.0,12,AS8,Diesel,20.0,12.2,16.5,17,380,6,1200.0,198.0
74,BENTLEY,FLYING SPUR,Four-Wheeler,6.0,12,AS8,Diesel,20.3,11.9,16.5,17,388,6,1200.0,198.0
75,BENTLEY,MULSANNE,Four-Wheeler,6.8,8,AS8,Diesel,22.3,14.9,19.0,15,437,6,1280.0,243.2
76,BMW,320i,Four-Wheeler,2.0,4,A8,Diesel,10.0,6.5,8.4,34,193,4,900.0,75.6
77,BMW,320i,Four-Wheeler,2.0,4,M6,Diesel,10.4,6.7,8.7,32,200,4,900.0,78.3
78,BMW,320i xDRIVE,Four-Wheeler,2.0,4,A8,Diesel,10.2,7.0,8.8,32,202,4,900.0,79.2
79,BMW,328d xDRIVE,Four-Wheeler,2.0,4,A8,CNG,7.6,5.5,6.7,42,181,4,700.0,46.9
80,BMW,328d xDRIVE TOURING,Four-Wheeler,2.0,4,A8,CNG,7.6,5.5,6.7,42,181,4,700.0,46.9
81,BMW,328i,Four-Wheeler,2.0,4,A8,Diesel,10.0,6.5,8.4,34,193,4,900.0,75.6
82,BMW,328i,Four-Wheeler,2.0,4,M6,Diesel,10.4,6.7,8.7,32,200,4,900.0,78.3
83,BMW,328i xDRIVE,Four-Wheeler,2.0,4,A8,Diesel,10.6,7.2,9.1,31,209,4,900.0,81.9
84,BMW,328i xDRIVE GRAN TURISMO,Four-Wheeler,2.0,4,A8,Diesel,10.6,7.2,9.1,31,209,4,900.0,81.9
85,BMW,328i xDRIVE TOURING,Four-Wheeler,2.0,4,A8,Diesel,10.6,7.2,9.1,31,209,4,900.0,81.9
86,BMW,335i,Four-Wheeler,3.0,6,A8,Diesel,11.4,7.3,9.6,29,221,4,1000.0,96.0
87,BMW,335i,Four-Wheeler,3.0,6,M6,Diesel,11.8,7.9,10.0,28,230,4,1000.0,100.0
88,BMW,335i xDRIVE,Four-Wheeler,3.0,6,A8,Diesel,11.7,7.8,9.9,29,228,4,1000.0,99.0
89,BMW,335i xDRIVE,Four-Wheeler,3.0,6,M6,Diesel,11.9,8.3,10.3,27,237,4,1000.0,103.0
90,BMW,335i xDRIVE GRAN TURISMO,Four-Wheeler,3.0,6,A8,Diesel,11.9,8.0,10.1,28,232,4,1000.0,101.0
91,BMW,428i COUPE,Four-Wheeler,2.0,4,A8,Diesel,10.0,6.5,8.4,34,193,4,900.0,75.6
92,BMW,428i COUPE,Four-Wheeler,2.0,4,M6,Diesel,10.4,6.7,8.7,32,200,4,900.0,78.3
93,BMW,428i xDRIVE COUPE,Four-Wheeler,2.0,4,A8,Diesel,10.6,7.2,9.1,31,209,4,900.0,81.9
94,BMW,435i COUPE,Four-Wheeler,3.0,6,A8,Diesel,11.4,7.3,9.6,29,221,4,1000.0,96.0
95,BMW,435i COUPE,Four-Wheeler,3.0,6,M6,Diesel,11.8,7.9,10.0,28,230,4,1000.0,100.0
96,BMW,435i xDRIVE COUPE,Four-Wheeler,3.0,6,A8,Diesel,11.7,7.8,9.9,29,228,4,1000.0,99.0
97,BMW,435i xDRIVE COUPE,Four-Wheeler,3.0,6,M6,Diesel,11.9,8.3,10.3,27,237,4,1000.0,103.0
98,BMW,528i,Four-Wheeler,2.0,4,A8,Diesel,10.2,7.0,8.8,32,202,4,900.0,79.2
99,BMW,528i xDRIVE,Four-Wheeler,2.0,4,A8,Diesel,10.6,7.2,9.1,31,209,4,900.0,81.9
100,BMW,535d xDRIVE,Four-Wheeler,3.0,6,A8,CNG,9.2,6.4,7.9,36,213,4,800.0,63.2
101,BMW,535i xDRIVE,Four-Wheeler,3.0,6,A8,Diesel,11.9,8.0,10.1,28,232,4,1000.0,101.0
102,BMW,535i xDRIVE GRAN TURISMO,Four-Wheeler,3.0,6,A8,Diesel,12.5,8.6,10.7,26,246,4,1000.0,107.0
103,BMW,550i xDRIVE,Four-Wheeler,4.4,8,A8,Diesel,14.4,9.6,12.2,23,281,5,1140.0,139.08
104,BMW,550i xDRIVE GRAN TURISMO,Four-Wheeler,4.4,8,A8,Diesel,15.0,9.8,12.7,22,292,5,1140.0,144.78
105,BMW,640i xDRIVE GRAN COUPE,Four-Wheeler,3.0,6,A8,Diesel,11.9,8.0,10.1,28,232,4,1000.0,101.0
106,BMW,650i xDRIVE CABRIOLET,Four-Wheeler,4.4,8,A8,Diesel,15.0,9.8,12.7,22,292,5,1140.0,144.78
107,BMW,650i xDRIVE COUPE,Four-Wheeler,4.4,8,A8,Diesel,14.4,9.6,12.2,23,281,5,1140.0,139.08
108,BMW,650i xDRIVE GRAN COUPE,Four-Wheeler,4.4,8,A8,Diesel,15.0,9.8,12.7,22,292,5,1140.0,144.78
109,BMW,740Li xDRIVE,Four-Wheeler,3.0,6,A8,Diesel,12.5,8.6,10.7,26,246,4,1000.0,107.0
110,BMW,750i xDRIVE,Four-Wheeler,4.4,8,A8,Diesel,15.0,9.8,12.7,22,292,5,1140.0,144.78
